group	x	y
10	19	19
10	20	19
10	21	19
10	22	20
10	23	22
10	24	24
10	25	26
10	26	27
10	27	28
10	28	29
10	29	30
10	30	30
10	31	32
10	32	32
10	33	34
10	34	35
10	35	35
10	36	35
10	37	36
10	38	37
10	39	38
10	40	41
10	41	42
10	42	43
10	43	43
10	44	45
10	45	46
10	46	47
10	47	47
10	48	47
10	49	50
10	50	51
10	51	51
10	52	51
10	53	52
10	54	52
10	55	52
10	56	52
10	57	54
10	58	57
10	59	60
10	60	61
10	61	65
10	62	65
10	63	65
10	64	67
10	65	69
10	66	69
10	67	70
10	68	71
10	69	72
10	70	73
10	71	74
10	72	74
10	73	77
10	74	79
10	75	81
10	76	83
10	77	84
10	78	86
10	79	87
10	80	87
10	81	87
10	82	89
11	1	0
11	2	2
11	3	5
11	4	6
11	5	7
11	6	8
11	7	10
11	8	11
11	9	12
11	10	13
11	11	16
11	12	18
11	13	19
11	14	19
11	15	20
11	16	20
11	17	20
11	18	21
11	19	21
11	20	22
11	21	23
11	22	26
11	23	27
11	24	28
11	25	30
11	26	31
11	27	31
11	28	32
11	29	33
11	30	34
11	31	36
11	32	37
11	33	37
11	34	39
